category_name,group_code,group_name,option_code,option_name,option_full_name,option_description
Безопасность,airbag,Подушки безопасности,airbag_driver,Водителя,Подушка безопасности водителя,
Безопасность,airbag,Подушки безопасности,airbag_passenger,Пассажира,Подушка безопасности пассажира,
Безопасность,airbag,Подушки безопасности,central_airbag,Центральная,Подушка безопасности центральная,
Безопасность,airbag,Подушки безопасности,airbag_side,Боковые передние,Подушки безопасности боковые,
Безопасность,airbag,Подушки безопасности,airbag_rear_side,Боковые задние,Подушки безопасности боковые задние,
Безопасность,airbag,Подушки безопасности,airbag_curtain,Оконные (шторки),Подушки безопасности оконные (шторки),
Безопасность,airbag,Подушки безопасности,knee_airbag,Коленей водителя,Подушка безопасности для защиты коленей водителя,
Безопасность,airbag,Подушки безопасности,knee_airbag_pass,Коленей пассажира,Подушка безопасности для защиты коленей пассажира,
Безопасность,help-sys,Вспомогательные системы,fcw,Предупреждения о столкновении,Система предупреждения о столкновении,Оповещает водителя звуковыми и визуальными сигналами о приближении к препятствию.
Безопасность,help-sys,Вспомогательные системы,collision_prevention_assist,Предотвращения столкновения,Система предотвращения столкновения,Корректирует скорость или активирует торможение при обнаружении риска столкновения.
Безопасность,help-sys,Вспомогательные системы,pedestrian_detection,Обнаружения пешеходов,Система обнаружения пешеходов,
Безопасность,help-sys,Вспомогательные системы,ldw,Предупреждения о выезде из полосы,Система предупреждения о выезде из полосы,Оповещает водителя вибрацией или звуком при непреднамеренном смещении автомобиля за пределы занимаемой полосы.
Безопасность,help-sys,Вспомогательные системы,lane_keeping_assist,Удержания в полосе,Система удержания в полосе,"Удерживает автомобиль в пределах полосы движения, предотвращая непреднамеренный выезд за ее границы."
Безопасность,help-sys,Вспомогательные системы,tja,Ассистент движения в пробке,Ассистент движения в пробке,"Автоматически контролирует скорость и дистанцию до впереди идущего автомобиля, облегчая вождение в условиях пробки."
Безопасность,help-sys,Вспомогательные системы,drowsy_driver_alert_system,Датчик усталости водителя,Датчик усталости водителя,Анализирует поведение водителя за рулем и предупреждает о признаках усталости.
Безопасность,help-sys,Вспомогательные системы,traffic_sign_recognition,Распознавания дорожных знаков,Система распознавания дорожных знаков,Система отображает информацию о дорожных знаках на приборной панели или проекционном дисплее.
Безопасность,help-sys,Вспомогательные системы,asr,Антипробуксовочная (ASR),Антипробуксовочная система (ASR),"Предотвращает пробуксовку колес, повышая управляемость автомобиля при разгоне на прямой или выходе из поворота в условиях недостаточного сцепления."
Безопасность,help-sys,Вспомогательные системы,vsm,Стабилизации рулевого управления (VSM),Система стабилизации рулевого управления (VSM),"Помогает сохранить контроль над автомобилем в сложных условиях, автоматически корректируя положение руля, тормозное усилие и крутящий момент двигателя."
Безопасность,help-sys,Вспомогательные системы,bas,Распределения тормозных усилий (BAS; EBD),Система помощи при торможении (BAS; EBD),"Анализирует силу воздействия водителя на педаль тормоза и усиливает давление при резком нажатии, сокращая время торможения."
Безопасность,help-sys,Вспомогательные системы,hcc,Помощи при старте в гору,Система помощи при старте в гору (HSA),"Предотвращает откат автомобиля на подъеме, облегчая начало движения."
Безопасность,help-sys,Вспомогательные системы,dha,Помощи при спуске,Система помощи при спуске,Автоматически контролирует скорость автомобиля на крутых спусках.
Безопасность,help-sys,Вспомогательные системы,blind_spot,Контроля слепых зон,Система контроля слепых зон,Индикация наличия объектов в слепых зонах зеркал рядом с автомобилем.
Безопасность,help-sys,Вспомогательные системы,rcta,Помощи при выезде с парковки задним ходом,Система помощи при выезде с парковки задним ходом,"Ассистент водителя при движении задним ходом, предупреждающий о приближении автомобилей слева или справа."
Безопасность,help-sys,Вспомогательные системы,night_vision,Ночного видения,Система ночного видения,Облегчает визуализацию дорожной обстановки в ночное время или при плохой погоде.
Безопасность,isofix,Система крепления Isofix,isofix,Задний ряд,Крепление детского кресла (задний ряд) ISOFIX,Стандартизированная система быстрого и надежного крепления детских автокресел на заднем сиденье.
Безопасность,isofix,Система крепления Isofix,isofix_front,Передний ряд,Крепление детского кресла (передний ряд) ISOFIX,Стандартизированная система быстрого и надежного крепления детских автокресел на переднем сиденье.
Безопасность,,,tyre_pressure,Датчик давления в шинах,Датчик давления в шинах,"Устройство, предупреждающее водителя об изменении давления в шинах."
Безопасность,,,abs,Антиблокировочная система (ABS),Антиблокировочная система (ABS),"Система предотвращает блокировку колес автомобиля при торможении, позволяя сохранить его управляемость и устойчивость."
Безопасность,,,esp,Система стабилизации (ESP),Система стабилизации (ESP),"Улучшает управляемость и предотвращает занос, автоматически регулируя работу тормозов и мощность двигателя при обнаружении потери сцепления."
Безопасность,,,power_child_locks_rear_doors,Блокировка замков задних дверей,Блокировка замков задних дверей,"Функция, предотвращающая открытие задних дверей изнутри."
Безопасность,,,glonass,ЭРА-ГЛОНАСС,ЭРА-ГЛОНАСС,"Система экстренного реагирования при ДТП, обеспечивающая передачу информации экстренным службам для оперативной помощи."
Безопасность,,,armored,Бронированный кузов,Бронированный кузов,
Комфорт,condition,Кондиционер,climate_control_1,Климат-контроль 1-зонный,Климат-контроль 1-зонный,
Комфорт,condition,Кондиционер,climate_control_2,Климат-контроль 2-зонный,Климат-контроль 2-зонный,
Комфорт,condition,Кондиционер,multizone_climate_control,Климат-контроль многозонный,Климат-контроль многозонный,
Комфорт,condition,Кондиционер,condition,Кондиционер,Кондиционер,
Комфорт,cruise-control,Круиз-контроль,auto_cruise,Адаптивный круиз-контроль,Адаптивный круиз-контроль,"Система управления скоростью, автоматически адаптирующаяся к скорости движения впереди идущих машин."
Комфорт,cruise-control,Круиз-контроль,cruise_control,Круиз-контроль,Круиз-контроль,Система автоматического поддержания заданной скорости.
Комфорт,parktronic,Система помощи при парковке,auto_park,Система автоматической парковки,Система автоматической парковки,Позволяет автомобилю самостоятельно занять парковочное место.
Комфорт,parktronic,Система помощи при парковке,park_assist_f,Парктроник передний,Парктроник передний,
Комфорт,parktronic,Система помощи при парковке,park_assist_r,Парктроник задний,Парктроник задний,
Комфорт,camera,Камера,360_camera,360°,Камера 360°,"Система из нескольких камер, формирующая панорамный вид вокруг автомобиля на экране для облегчения парковки и маневрирования на малой скорости."
Комфорт,camera,Камера,front_camera,Передняя,Камера передняя,
Комфорт,camera,Камера,rear_camera,Задняя,Камера задняя,
Комфорт,,,projection_display,Проекционный дисплей,Проекционный дисплей,"Выводит важную информацию о движении на лобовое стекло, позволяя водителю не отвлекаться от дороги."
Комфорт,,,drive_mode_sys,Система выбора режима движения,Система выбора режима движения,"Позволяет адаптировать характеристики управления, тяги и подвески автомобиля под текущие дорожные условия или предпочтения водителя."
Комфорт,,,remote_engine_start,Дистанционный запуск двигателя,Дистанционный запуск двигателя,
Комфорт,,,easy_trunk_opening,Открытие багажника без помощи рук,Открытие багажника без помощи рук,
Комфорт,,,multi_wheel,Мультифункциональное рулевое колесо,Мультифункциональное рулевое колесо,
Комфорт,,,electronic_gage_panel,Электронная приборная панель,Электронная приборная панель,
Комфорт,,,keyless_entry,Система доступа без ключа,Система доступа без ключа,"Технология, позволяющая открыть и запустить автомобиль без использования ключа."
Комфорт,,,start_button,Запуск двигателя с кнопки,Запуск двигателя с кнопки,
Комфорт,,,programmed_block_heater,Программируемый предпусковой отопитель,Программируемый предпусковой отопитель,
Комфорт,,,electro_trunk,Электропривод крышки багажника,Электропривод крышки багажника,
Комфорт,,,auto_mirrors,Электроскладывание зеркал,Электроскладывание зеркал,
Комфорт,,,mirrors_memory,Память боковых зеркал,Память боковых зеркал,
Комфорт,,,steering_wheel_gear_shift_paddles,Подрулевые лепестки переключения передач,Подрулевые лепестки переключения передач,
Комфорт,,,adj_pedals,Регулируемый педальный узел,Регулируемый педальный узел,
Комфорт,,,start_stop_function,Система «старт-стоп»,Система «старт-стоп»,Технология автоматического отключения и последующего запуска двигателя при коротких остановках.
Комфорт,,,electro_mirrors,Электропривод зеркал,Электропривод зеркал,
Комфорт,,,power_latching_doors,Доводчик дверей,Доводчик дверей,
Комфорт,steering-wheel,Регулировка руля,wheel_configuration1,По высоте,Регулировка руля по высоте,
Комфорт,steering-wheel,Регулировка руля,wheel_configuration2,По вылету,Регулировка руля по вылету,
Комфорт,steering-wheel,Регулировка руля,e_adjustment_wheel,Электрорегулировка,Электрорегулировка руля,
Комфорт,steering-wheel,Регулировка руля,wheel_memory,С памятью положения,Рулевая колонка с памятью положения,
Комфорт,electro-windows,Электростеклоподъёмники,electro_window_front,Передние,Электростеклоподъемники передние,
Комфорт,electro-windows,Электростеклоподъёмники,electro_window_back,Задние,Электростеклоподъемники задние,
Комфорт,power-steering,Усилитель руля,wheel_power,Усилитель руля,Усилитель руля,
Комфорт,power-steering,Усилитель руля,servo,Активный усилитель руля,Активный усилитель руля,
Мультимедиа,,,rus_multi,Русифицированное меню,Русифицированное меню,
Мультимедиа,,,audiosystem_tv,Мультимедиа система с ЖК-экраном,Мультимедиа система с ЖК-экраном,
Мультимедиа,,,entertainment_system_for_rear_seat_passengers,Мультимедиа система для задних пассажиров,Мультимедиа система для задних пассажиров,
Мультимедиа,,,remote_car_services,Дистанционное управление автомобилем,Дистанционное управление автомобилем,"Позволяет водителю управлять некоторыми функциями транспортного средства, используя только ключ-пульт или смартфон."
Мультимедиа,,,wireless_charger,Беспроводная зарядка для смартфона,Беспроводная зарядка для смартфона,
Мультимедиа,,,usb,USB,USB,
Мультимедиа,,,navigation,Навигационная система,Навигационная система,
Мультимедиа,,,voice_recognition,Голосовое управление,Голосовое управление,"Технология, позволяющая управлять функциями автомобиля с помощью голосовых команд."
Мультимедиа,,,android_auto,Android Auto,Android Auto,"Платформа, интегрирующая Android-смартфон в информационно-развлекательную систему автомобиля для удобства управления медиа и навигацией."
Мультимедиа,,,apple_carplay,CarPlay,CarPlay,"Платформа, интегрирующая смартфон с операционной системой iOS в информационно-развлекательную систему автомобиля для удобства управления медиа и навигацией."
Мультимедиа,,,ya_auto,Яндекс Авто,Яндекс Авто,"Платформа для интеграции сервисов Яндекс в информационно-развлекательную систему автомобиля, обеспечивающая доступ к навигации, музыке и голосовому помощнику."
Мультимедиа,,,aux,AUX,AUX,
Мультимедиа,,,bluetooth,Bluetooth,Bluetooth,
Мультимедиа,,,12v_socket,Розетка 12V,Розетка 12V,
Мультимедиа,,,220v_socket,Розетка 220V,Розетка 220V,
Мультимедиа,audio,Аудиосистема,music_super,Премиальная аудиосистема,Премиальная аудиосистема,
Мультимедиа,audio,Аудиосистема,audiosystem_cd,Аудиосистема,Аудиосистема,
Мультимедиа,audio,Аудиосистема,audiopreparation,Аудиоподготовка,Аудиоподготовка,
Обзор,,,ptf,Противотуманные фары,Противотуманные фары,
Обзор,,,adaptive_light,Адаптивное освещение,Система адаптивного освещения,Управляет направлением светового потока фар в зависимости от траектории движения автомобиля.
Обзор,,,rain_sensor,Датчик дождя,Датчик дождя,
Обзор,,,light_sensor,Датчик света,Датчик света,
Обзор,,,drl,Дневные ходовые огни,Дневные ходовые огни,
Обзор,,,automatic_lighting_control,Автоматический корректор фар,Автоматический корректор фар,
Обзор,,,high_beam_assist,Автоматический дальний свет,Система управления дальним светом,"Автоматически переключает свет фар между ближним и дальним, предотвращая ослепление встречных водителей."
Обзор,,,light_cleaner,Омыватель фар,Омыватель фар,
Обзор,,,auto_dimming_mirror,Самозатемняющееся зеркало заднего вида,Самозатемняющееся зеркало заднего вида,
Обзор,lights,Фары,xenon,Ксеноновые/биксеноновые,Ксеноновые/биксеноновые фары,
Обзор,lights,Фары,laser_lights,Лазерные,Лазерные фары,
Обзор,lights,Фары,led_lights,Светодиодные,Светодиодные фары,
Обзор,heating,Электрообогрев,windcleaner_heat,Зоны стеклоочистителей,Электрообогрев зоны стеклоочистителей,
Обзор,heating,Электрообогрев,windscreen_heat,Лобового стекла,Электрообогрев лобового стекла,
Обзор,heating,Электрообогрев,mirrors_heat,Боковых зеркал,Электрообогрев боковых зеркал,
Обзор,heating,Электрообогрев,heated_wash_system,Форсунок стеклоомывателей,Электрообогрев форсунок стеклоомывателей,
Элементы экстерьера,disk-type,Тип дисков,steel_wheels,Стальные,Стальные диски,
Элементы экстерьера,disk-type,Тип дисков,alloy_wheel_disks,Легкосплавные,Легкосплавные диски,
Элементы экстерьера,disk-size,Размер дисков,12_inch_wheels,"Диски 12""",Диски 12,
Элементы экстерьера,disk-size,Размер дисков,13_inch_wheels,"Диски 13""",Диски 13,
Элементы экстерьера,disk-size,Размер дисков,14_inch_wheels,"Диски 14""",Диски 14,
Элементы экстерьера,disk-size,Размер дисков,15_inch_wheels,"Диски 15""",Диски 15,
Элементы экстерьера,disk-size,Размер дисков,16_inch_wheels,"Диски 16""",Диски 16,
Элементы экстерьера,disk-size,Размер дисков,17_inch_wheels,"Диски 17""",Диски 17,
Элементы экстерьера,disk-size,Размер дисков,18_inch_wheels,"Диски 18""",Диски 18,
Элементы экстерьера,disk-size,Размер дисков,19_inch_wheels,"Диски 19""",Диски 19,
Элементы экстерьера,disk-size,Размер дисков,20_inch_wheels,"Диски 20""",Диски 20,
Элементы экстерьера,disk-size,Размер дисков,21_inch_wheels,"Диски 21""",Диски 21,
Элементы экстерьера,disk-size,Размер дисков,22_inch_wheels,"Диски 22""",Диски 22,
Элементы экстерьера,disk-size,Размер дисков,23_inch_wheels,"Диски 23""",Диски 23,
Элементы экстерьера,disk-size,Размер дисков,24_inch_wheels,"Диски 24""",Диски 24,
Элементы экстерьера,disk-size,Размер дисков,25_inch_wheels,"Диски 25""",Диски 25,
Элементы экстерьера,disk-size,Размер дисков,26_inch_wheels,"Диски 26""",Диски 26,
Элементы экстерьера,disk-size,Размер дисков,27_inch_wheels,"Диски 27""",Диски 27,
Элементы экстерьера,disk-size,Размер дисков,28_inch_wheels,"Диски 28""",Диски 28,
Элементы экстерьера,,,duo_body_color,Двухцветная окраска кузова,Двухцветная окраска кузова,
Элементы экстерьера,,,body_kit,Обвес кузова,Обвес кузова,
Элементы экстерьера,,,roof_rails,Рейлинги на крыше,Рейлинги на крыше,
Элементы экстерьера,,,airbrush,Аэрография,Аэрография,
Элементы экстерьера,,,body_mouldings,Декоративные молдинги,Декоративные молдинги,
Защита от угона,alarm,Сигнализация,feedback_alarm,Сигнализация с обратной связью,Сигнализация с обратной связью,
Защита от угона,alarm,Сигнализация,alarm,Сигнализация,Сигнализация,
Защита от угона,,,lock,Центральный замок,Центральный замок,
Защита от угона,,,volume_sensor,Датчик проникновения в салон (датчик объема),Датчик проникновения в салон (датчик объема),
Защита от угона,,,immo,Иммобилайзер,Иммобилайзер,
Салон,saloon-color,Цвет салона,light_interior,Светлый,Светлый салон,
Салон,saloon-color,Цвет салона,dark_interior,Темный,Темный салон,
Салон,saloon-material,Материал салона,velvet_seats,Велюр,Велюр (материал салона),
Салон,saloon-material,Материал салона,combo_interior,Комбинированный,Комбинированный (материал салона),
Салон,saloon-material,Материал салона,eco_leather,Искусственная кожа,Искусственная кожа (материал салона),
Салон,saloon-material,Материал салона,alcantara,Алькантара,Алькантара (материал салона),
Салон,saloon-material,Материал салона,leather,Кожа,Кожа (материал салона),
Салон,saloon-material,Материал салона,fabric_seats,Ткань,Ткань (материал салона),
Салон,seats-hight,Регулировка сидений по высоте,driver_seat_updown,Сиденья водителя,Регулировка сиденья водителя по высоте,
Салон,seats-hight,Регулировка сидений по высоте,passenger_seat_updown,Передних сидений,Регулировка передних сидений по высоте,
Салон,electro-seat,Электрорегулировка сидений,driver_seat_electric,Сиденья водителя,Электрорегулировка сиденья водителя,
Салон,electro-seat,Электрорегулировка сидений,passenger_seat_electric,Передних сидений,Электрорегулировка передних сидений,
Салон,electro-seat,Электрорегулировка сидений,electro_rear_seat,Задних сидений,Электрорегулировка задних сидений,
Салон,lumbar-support,Сиденья с поддержкой поясницы,driver_seat_support,Сиденье водителя с поясничной поддержкой,Сиденье водителя с поясничной поддержкой,
Салон,lumbar-support,Сиденья с поддержкой поясницы,front_seat_support,Передние сиденья с поясничной поддержкой,Передние сиденья с поясничной поддержкой,
Салон,seats-heat,Подогрев сидений,front_seats_heat,Передних сидений,Подогрев передних сидений,
Салон,seats-heat,Подогрев сидений,rear_seats_heat,Задних сидений,Подогрев задних сидений,
Салон,vent-seats,Вентиляция сидений,front_seats_heat_vent,Передних сидений,Вентиляция передних сидений,
Салон,vent-seats,Вентиляция сидений,rear_seat_heat_vent,Задних сидений,Вентиляция задних сидений,
Салон,,,sport_seats,Спортивные передние сиденья,Спортивные передние сиденья,
Салон,,,hatch,Люк,Люк,
Салон,,,panorama_roof,Панорамная крыша / лобовое стекло,Панорамная крыша / лобовое стекло,
Салон,,,massage_seats,Сиденья с массажем,Сиденья с массажем,
Салон,,,wheel_heat,Обогрев рулевого колеса,Обогрев рулевого колеса,
Салон,,,wheel_leather,Отделка кожей рулевого колеса,Отделка кожей рулевого колеса,
Салон,,,leather_gear_stick,Отделка кожей рычага КПП,Отделка кожей рычага КПП,
Салон,,,black_roof,Отделка потолка черного цвета,Отделка потолка черного цвета,
Салон,,,rear_armrest,Задний подлокотник,Задний подлокотник,
Салон,,,third_row_seats,Третий ряд сидений,Третий ряд сидений,
Салон,,,seat_transformation,Складывающееся заднее сиденье,Складывающееся заднее сиденье,
Салон,,,folding_front_passenger_seat,Функция складывания спинки сиденья пассажира,Функция складывания спинки сиденья пассажира,
Салон,,,folding_tables_rear,Складной столик на спинках передних сидений,Складной столик на спинках передних сидений,
Салон,,,decorative_interior_lighting,Декоративная подсветка салона,Декоративная подсветка салона,
Салон,,,front_centre_armrest,Передний центральный подлокотник,Передний центральный подлокотник,
Салон,,,third_rear_headrest,Третий задний подголовник,Третий задний подголовник,
Салон,,,tinted_glass,Тонированные стекла,Тонированные стекла,
Салон,,,roller_blinds_for_rear_side_windows,Солнцезащитные шторки в задних дверях,Солнцезащитные шторки в задних дверях,
Салон,,,roller_blind_for_rear_window,Солнцезащитная шторка на заднем стекле,Солнцезащитная шторка на заднем стекле,
Салон,,,sport_pedals,Декоративные накладки на педали,Декоративные накладки на педали,
Салон,,,door_sill_panel,Накладки на пороги,Накладки на пороги,
Салон,,,cap_seats_rear,Капитанские кресла заднего ряда,Капитанские кресла заднего ряда,
Салон,,,athermal_glass,Атермальное остекление,Атермальное остекление,
Салон,memory-seats,Память положения сидений,driver_seat_memory,Сиденья водителя,Память сиденья водителя,
Салон,memory-seats,Память положения сидений,seat_memory,Передних сидений,Память передних сидений,
Салон,memory-seats,Память положения сидений,rear_seat_memory,Задних сидений,Память задних сидений,
Салон,seats,Количество мест,seats_2,Количество мест: 2,Количество мест: 2,
Салон,seats,Количество мест,seats_4,Количество мест: 4,Количество мест: 4,
Салон,seats,Количество мест,seats_5,Количество мест: 5,Количество мест: 5,
Салон,seats,Количество мест,seats_6,Количество мест: 6,Количество мест: 6,
Салон,seats,Количество мест,seats_7,Количество мест: 7,Количество мест: 7,
Салон,seats,Количество мест,seats_8,Количество мест: 8,Количество мест: 8,
Салон,seats,Количество мест,seats_9,Количество мест: 9,Количество мест: 9,
Прочее,suspension-type,Подвеска,activ_suspension,Активная,Активная подвеска,"Система, автоматически адаптирующая характеристики подвески к дорожным условиям."
Прочее,suspension-type,Подвеска,sport_suspension,Спортивная,Спортивная подвеска,
Прочее,suspension-type,Подвеска,air_suspension,Пневмоподвеска,Пневмоподвеска,
Прочее,spare-wheel,Запасное колесо,spare_wheel,Полноразмерное,Полноразмерное запасное колесо,
Прочее,spare-wheel,Запасное колесо,reduce_spare_wheel,Докатка,Докатка,
Прочее,,,turnbuckle,Фаркоп,Фаркоп,
Прочее,,,engine_proof,Защита картера,Защита картера,
Прочее,,,add_tires,Второй комплект резины,Второй комплект резины,